rd_ad,room_id,uid,score,dt
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213432837,1000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,35771508,5000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,123495737,5600.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,214018879,3000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,23888179,3000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,25275043,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,211920338,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,149722282,1100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,24931551,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213160274,5000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,25673599,5100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,80698646,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,1793819,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,199232462,1000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,74843484,2100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213397214,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,180243954,2800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,90015166,3100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,211332346,2900.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213027150,2500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,15670372,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,15321866,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,55969461,500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,174470074,4000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,75498773,5000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213850100,1500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,45474201,2500.0,20180801
