type,room_id,point,dt
0,3599205,149,20180701
0,1690716,115,20180706
0,3599205,26,20180706
0,1690716,247,20180710
0,1690716,506,20180708
0,3599205,112,20180708
0,1690716,70,20180715
0,3599205,79,20180715
0,1690716,54,20180702
0,3599205,158,20180702
0,1690716,1275,20180712
0,3599205,554,20180712
0,1690716,125,20180704
0,1690716,672,20180714
0,3599205,13,20180714
0,1690716,161,20180709
0,1690716,213,20180713
0,1690716,275,20180707
0,1690716,87,20180711
0,3599205,177,20180711
0,1690716,188,20180705
0,3599205,542,20180705
0,1690716,93,20180703
0,3599205,1158,20180703
