room_id,income,dt
3599205,939,20180701
1690716,391,20180703
3599205,11178,20180703
1690716,1167,20180710
3599205,7139,20180710
1690716,1870,20180713
3599205,36383,20180713
1690716,594,20180711
3599205,1691,20180711
1690716,297,20180706
3599205,98,20180706
1690716,839,20180705
3599205,5263,20180705
1690716,12344,20180712
3599205,5272,20180712
1690716,4499,20180708
3599205,996,20180708
1690716,120,20180715
3599205,542,20180715
1690716,493,20180702
3599205,1293,20180702
1690716,1978,20180707
3599205,9356,20180707
1690716,5530,20180714
1690716,592,20180704
3599205,6117,20180704
1690716,718,20180709
3599205,5217,20180709
